TrueY,PredY
0,0.008978918
0,0.12623058
1,0.9870154
0,0.22658458
1,0.9990117
0,0.024820369
0,0.058015324
1,0.9974529
0,0.006607888
0,0.00086063024
0,0.0042250482
0,0.4591753
1,0.99973166
0,0.082294784
1,0.99920607
1,0.9997765
1,0.6736641
0,0.0018655561
1,0.9992113
1,0.99863327
1,0.9991242
0,0.00017884762
0,0.005182877
1,0.6682733
0,0.010463629
1,0.9981449
0,0.13651682
0,0.35358194
0,0.04949526
0,0.8792197
0,0.040809028
0,0.19562492
0,0.00014385435
0,0.07184698
1,0.9974884
0,0.052402418
0,0.019054014
1,0.18773405
0,0.0025421176
1,0.9889619
1,0.99924165
0,0.0063629
0,0.95154935
0,0.9992984
0,0.16201471
